Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap
Aceh,77,9,174,192
Sumatera Utara,185,23,178,441
Sumatera Barat,53,30,108,172
Riau,67,14,120,122
Jambi,42,3,98,110
Sumatera Selatan,72,17,110,244
Bengkulu,25,3,52,127
Lampung,64,19,162,160
Kepulauan Bangka Belitung,25,4,25,39
Kepulauan Riau,34,5,28,68
DKI Jakarta,142,52,2,42
Jawa Barat,382,54,279,827
Jawa Tengah,317,52,369,512
DI Yogyakarta,64,16,47,74
Jawa Timur,358,84,622,354
Banten,111,25,63,190
Bali,66,16,38,82
Nusa Tenggara Barat,39,7,154,23
Nusa Tenggara Timur,64,3,186,255
Kalimantan Barat,51,8,140,112
Kalimantan Tengah,31,3,85,120
Kalimantan Selatan,44,8,52,190
Kalimantan Timur,54,12,91,97
Kalimantan Utara,17,–,20,38
Sulawesi Utara,52,8,99,104
Sulawesi Tengah,37,4,125,94
Sulawesi Selatan,100,24,306,168
Sulawesi Tenggara,39,4,109,199
Gorontalo,21,1,24,71
Sulawesi Barat,14,2,59,39
Maluku,28,1,94,147
Maluku Utara,21,2,57,93
Papua Barat,14,–,26,55
Papua Barat Daya,12,–,18,101
Papua,18,1,44,79
Papua Selatan,8,–,59,26
Papua Tengah,14,–,29,98
Papua Pegunungan,8,–,23,160
Indonesia,2.77,514,4.275,6.025
